Event Name,Magnitude
Apache Struts2 Dynamic Method Remote Code Execution Vulnerability,7
Jenkins Exposure of Sensitive Information Vulnerability,7
Unmanaged Node Detected,7
WSO2 Management Console Login JSP Reflected Cross - Site Scripting (XSS),7
Network flood IPv4 UDP-FRAG,7
Adobe ColdFusion CKeditor Unrestricted File Upload Vulnerability,7
PHPMoAdmin Object Parameter Handling Code Execution Vulnerability,7
HTTP SQL Injection Attempt,7
VBulletin Open Redirect Vulnerability,7
DotCMS Open Redirect Vulnerability,7
Grafana Cross-Site Scripting Vulnerability,7
SAP NetWeaver AS JAVA Authentication Vulnerability,7
LILIN DVR Remote Command Execution Vulnerability,7
Oracle iPlanet Web Server Information Disclosure Vulnerability,7
Apache OFBiz Deserialization Vulnerability,7
Apache Tomcat Deserialization Vulnerability,7
DoctorAppointmentSystem SQL Injection Vulnerability,7
Yealink DM Pre Auth Remote Code Execution Vulnerability,7
FastJson Deserialization Vulnerability,7
Tenda AC11 Stack Buffer Overflow Vulnerability,7
Apache Dubbo Deserialization Vulnerability,7
Apache Struts2 Redirect/Action Method Remote Code Execution Vulnerability,7
HTTP GET Requests Long URI Anomaly,7
HTPasswd.Access,7
Qlik Sense Quick Mode Configuration (QMC) Path Traversal,7
BGP Neighbor Status Changed,7
WordPress.REST.API.Username.Enumeration.Information.Disclosure,7
Generic Webshell Command and Control Traffic Detection,7
vBulletin 5 Unserialize Remote Code Execution Vulnerability,7
WordPress Media Library Assistant Plugin Remote Code Execution Vulnerability,7
TOTOlink A7100RU Command Injection Vulnerability,7
Schneider Electric Command Injection Vulnerability,7
Zentao Remote Code Execution Vulnerability,7
C-Data Web Management System Command Injection Vulnerability,7
WordPress Authentication Bypass Vulnerability,7
PHP Remote Code Execution Vulnerability,7
Flir Ax8 Remote Command Injection Vulnerability,7
Cacti Authenticated Remote Code Execution Vulnerability,7
PDF Signer Remote Command Execution Vulnerability,7
Possible HTTP Malicious Payload Detection,7
RaspAP Remote Command Execution Vulnerability,7
Microsoft Open Management Infrastructure Remote Code Execution Vulnerability,7
Hikvision Camera Command Injection Vulnerability,7
Spring Cloud Gateway Code Injection Vulnerability,7
Grafana Labs Grafana Snapshot Authentication Bypass Vulnerability,7
Netgear RAX43 Command Injection Vulnerability,7
Telesquare SDT-CW3B1 Router Command Injection Vulnerability,7
Possible HTTP Malicious Payload Detection,7
Magmi Authentication Bypass Attempt Detection,7
OpenSNS Remote Command Execution Vulnerability,7
Ivanti Endpoint Manager Cloud Services Appliance Code Execution Vulnerability,7
FortiLogger Arbitrary File Upload Vulnerability,7
Micro Focus Operations Bridge Reporter Remote Command Execution Vulnerability,7
FastJson Deserialization Vulnerability,7
Weaver OA8 SQL Injection Vulnerability,7
Possible HTTP Malicious Payload Detection,7
PHP Backdoor Remote Code Execution Vulnerability,7
Schneider Electric EVlink Charging Station Firmware Authentication Bypass Vulnerability,7
Eyou Email System Remote Command Execution Vulnerability,7
VMware vCenter Server Remote Code Execution Vulnerability,7
XStream Remote Command Execution Vulnerability,7
Brother MFC-J6520DW Authentication Bypass Vulnerability,7
MAIL: User Login Brute Force Attempt,7
Jackson-Databind JNDI Remote Command Execution Vulnerability,7
FasterXML Jackson-Databind Deserialization Vulnerability,7
FasterXML Jackson-Databind Deserialization Vulnerability,7
HPE Smart Update Manager Unauthorized Remote Access Vulnerability,7
Apache Struts 2 Remote Code Execution Vulnerability,7
SolarWinds Orion API Authentication Bypass Vulnerability,7
PHP Code Injection Vulnerability,7
Spring Boot Actuator Remote Code Execution Vulnerability,7
Grafana Labs Grafana Original URL Cross - Site Scripting (XSS),7
NAKIVO Director Router Arbitrary File Read,7
Atlassian.Confluence.Server.S.Endpoint.Information.Disclosure - This indicates an attack attempt to exploit an Information Disclosure Vulnerability in Atlassian Confluence Server,7
Harbor.Project.Harbor.user.API.Privilege.Escalation - This indicates an attack attempt to exploit a Privilege Escalation Vulnerability in Harbor project Harbor,7
HP Universal CMDB Console Authentication Bypass Vulnerability,7
Admin Session Destroyed,7
Possible HTTP Malicious Payload Detection,7
Novell ZENworks Mobile Management Cross-Site Scripting Vulnerability,7
Rejetto HTTP File Server Remote Command Execution Vulnerability,7
D-Link.DIR.800.Series.getcfg.php.Information.Disclosure,7
Yonyou NC-Cloud Arbitrary File Upload Vulnerability,7
Chamilo Command Injection Vulnerability,7
Smartbi Built-in User Authentication Bypass Vulnerability,7
Adobe ColdFusion Improper Access Control Vulnerability,7
Anheng DAS-Gateway Remote Code Execution Vulnerability,7
Policy: Remote: Clear Text Application Usage,7
Weaver E-cology OA System Remote Code Execution Vulnerability,7
Zoho ManageEngine Multiple Products Remote Code Execution Vulnerability,7
Grafana Unauthenticated Denial-of-Service Vulnerability,7
TOTOLINK Command Injection Vulnerability,7
XStream Remote Code Execution Vulnerability,7
Oracle WebLogic Server Side Request Forgery Vulnerability,7
OpenSSL TLS Heartbleed Vulnerability,7
Possible HTTP Malicious Payload Detection,7
Jackson Deserialization Vulnerability,7
Linux Kernel ipip6_rcv Remote Denial of Service Vulnerability,7
Open Automation Software OAS Platform Authentication Bypass Vulnerability,7
Possible HTTP Malicious Payload Detection,7
Ruijieyi Networks Remote Command Execution Vulnerability,7
Sunhillo SureLine Unauthenticated OS Command Injection Vulnerability,7
Flood Detected,7
random-drop,1
Cisco IOS XE CVE-2023-20198 Associated Backdoor Traffic Detection,7
Multiple CCTV-DVR Remote Command Injection Vulnerability,7
HTTP SQL Injection Attempt,7
Netgear Routers Arbitrary Command Injection Vulnerability,7
Multiple Products Arbitrary File Location Upload Vulnerability,7
Cisco IOS Router Denial of Service Vulnerability,7
Microsoft Windows NAT Helper DNS Query Denial of Service,7
Digium Asterisk chan_skinny SCCP session Initiated Detection,7
Sun Solaris in.rwhod Vulnerability,7
Dnsmasq Integer Underflow Vulnerability,7
Smallshell ASP Webshell Upload Detection,7
SIP Malformed Request: Request-URI with Unknown Scheme,7
Censys.io.Scanner - This indicates detection of an attempted scan from Censys Vulnerability Scanner,7
FortiGuard webfilter unreachable,7
Possible HTTP Malicious Payload Detection,7
Apache.Tomcat.Transfer.Encoding.Request.Smuggling - This indicates detection of a HTTP Request Smuggling vulnerability in Apache Tomcat,7
Routing log-warning,7
Jira.Plugins.JiraWhitelist.SSRF - This indicates an attack attempt against a Server-Side Request Forgery vulnerability in Jira servlet plugins,7
TVT-Digital CCTV-DVR Remote Code Execution Vulnerability,7
SSL web application blocked,7
Auto-Update error encountered - configuration update may be required.,7
URL Filtering,6
DNS Query Message,6
utm redirect,6
Scan Detected,6
Ip-conn,6
Abnormal SSL traffic on port 443,6
Search Executed,6
Virus Detected,6
Non-RFC Compliant SSL Traffic on Port 443,6
DNS Detected,6
Search Results Deleted,6
Search Completed,6
Ping,6
Custom Rule Engine Message,6
Non-RFC Compliant SMTP Traffic on Port 25,6
NTP,6
Invalid L4 Header Length,6
Non-RFC Compliant DNS Traffic on Port 53/5353,6
Offense Created,6
SSL user failed to logged in,6
Non-RFC Compliant DNS Traffic on Port 53/5353,6
spyware-reset-both,6
Virtual WAN Link SLA Information,6
Tailscale,6
L4 Source or Dest Port Zero,6
Invalid TCP Flags,6
Reference Data Updated,6
Reference Data Purged,6
UDP Scan,6
STUN,6
Bitdefender.Service,6
Non-RFC Compliant HTTP Traffic on Port 80,6
Non-RFC Compliant DNS Traffic on Port 53/5353,6
Reference Data Created,6
Black List,6
Ping Sweep,6
Memcached-Server-Reflect,6
Client Application Firewall - Gitlab,6
Task Completed,6
SSL exit error,6
Non-RFC Compliant TFTP Traffic on Port 69,6
UTM Blocked,6
FileType Detected,6
Administration Delete Event,6
MS.Windows.Update - This indicates an attempt to update Microsoft Windows,6
QUIC - This indicates an attempt to use the QUIC protocol,6
Non-RFC Compliant HTTP Traffic on Port 80,6
Disk log has rolled,6
Non-RFC Compliant DNS Traffic on Port 53/5353,6
Trusted certificate added,6
IP Address Created,6
Suspicious User-Agent Strings Detection,6
Microsoft.Portal,6
Non-RFC Compliant DNS Traffic on Port 53/5353,6
Github,6
DoS event,6
BDoS baseline learning is active,6
SMTP,6
SMTPS,6
HTTP.BROWSER,6
Microsoft.Office.365.Portal,6
DHCP statistics,6
Non-RFC Compliant SMTP Traffic on Port 25,6
Suspicious HTTP Response Found,6
Non-RFC Compliant DNS Traffic on Port 53/5353,6
Yum.Tool,6
DNS.Over.TLS,6
Interface Status Change,6
New NAC node detected,6
Non-RFC Compliant SMTP Traffic on Port 25,6
Reference Data Removed,6
SOAP,6
Nessus.Scanner - This indicates detection of an attempted scan to access various files on a server by Nessus Vulnerability Scanner,6
Root.Certificate.URL,6
Ubuntu.Update,6
Non-RFC Compliant SMTP Traffic on Port 25,6
Defensepro Message,6
Non-RFC Compliant SMTP Traffic on Port 25,6
Wasabi,6
Google.Services,6
Microsoft.Authentication,6
OneDrive,6
Source Address same as Dest Address (Land Attack),6
TCP-Over-DNS Traffic Evasion Application Detection,6
AndroxGh0st Scanning Traffic Detection,6
Trace.Route - This indicates an attempt to access Traceroute,6
UBA : Suspicious Privileged Activity (Rarely Used Privilege),6
Non-RFC Compliant SMTP Traffic on Port 25,6
SearchCanceled,6
Virtual WAN Link status-notice,6
HA secondary synchronized FLDB,6
HA secondary synchronized Virus database,6
HA secondary synchronized Extended database,6
NTP server status changes to unresolvable,6
JavaScript Obfuscation Detected,6
Genian NAC Message,6
Non-RFC Compliant HTTP Traffic on Port 80,6
Non-RFC Compliant SSL Traffic,6
Virtual WAN Link SLA Information Notice,6
Login Success,6
Auth Server Password accepted,6
Google.Play - This indicates an attempt to access Google Play,6
SNMP query failed,6
Microsoft.Store,6
Login Failed,6
IPv6 Address Change,6
Docker - This indicates an attempt to access Docker,6
Local SSH Scanner Detected,6
Non-RFC Compliant HTTP Traffic on Port 80,6
Google.Accounts,6
Telegram - This indicates an attempt to access Telegram Messenger,6
Administration Edit Event,6
Windows.Push.Notification - Attempt to use Windows Push Notification,6
reseeding,6
Skype.Portals,6
Microsoft.OneNote,6
Non-RFC Compliant NTP Traffic on Port 123,6
Non-RFC Compliant NTP Traffic on Port 123,6
IPSec Negotiation Error,6
Backup Completed,6
Backup Initiated,6
Backup Purged,6
Synchronization status with primary,6
Certificate Expired,6
Endpoint Connection Closed,6
FortiGate update failed,6
Defect Inspector,6
Abnormal Multiple Transfer-Encoding HTTP Response Found,6
Session Allowed,5
UTM DNS pass,5
Forward Traffic,5
Allow Action,5
Firewall Permit,5
TLS Encrypted Client Hello Extension Detection,5
Suspicious TLS Evasion Found,5
SSL new connection,5
spyware-drop,5
progress IPsec phase,5
Suspicious HTTP Evasion Found,5
Non-TLS Traffic On Port 443(95479),5
IP Address Updated,5
delete IPsec phase 1 SA,5
Gitscanner Traffic Detected(95497),5
Tunnel Stats,5
Use of hybrid Classical and Post Quantum Cyphers ECDH and Crystals-Kyber detected,5
SSL TLS CBC Cipher Suite Detection,5
UBA : New internal asset used,5
IP Address Disclosure Detection,5
GTPv1 Echo Request Message,5
install IPsec SA,5
Invalid IPv4 Header or Total Length,5
DNS-Protection event,5
ENV File Scanning Attempt,5
delete IPsec phase 2 SA,5
Port Observed,5
TCP handshake violation,5
WordPress Login Attempt Detection,5
Misc Performance statistics,5
Tunnel Up,5
Tunnel Down,5
Metasploit VxWorks WDB Agent Scanner Detection,5
UBA : Increased activity to internal destination port,5
User Added to Auth Logon,5
Auth Logout,5
UBA : Unusual network zone access,5
User Logout,5
Threat feed loaded,5
SFTP Config JSON File Download Attempt,5
SIPVicious Scanner Detection,5
ZGrab Application Layer Scanner Detection,5
Interface Created,5
Asset Created,5
UBA : Abnormal usage of internal asset,5
Non-RFC Compliant SMTP Traffic on Port 25,5
UBA : Abnormal increase in User activity,5
Asset Deleted,5
Coremail Information Disclosure Vulnerability,5
HTTP Non RFC-Compliant Response Found,5
Unsupported L4 Protocol,5
Oracle 9i Application Server Dynamic Monitoring Services Anonymous Access,5
Microhard Systems 4G Cellular Ethernet and Serial Gateway Information Disclosure Vulnerability,5
HTTP Directory Traversal Request Attempt,5
Dynamic address updated,5
UBA : Abnormal increase in Authentication activity,5
Dormant Account Found,5
New Account Use Detected,5
Dormant Account Used,5
UBA : Abnormal increase in Access activity,5
Incorrect IPv4 checksum,5
Virus Definition Update,5
FortiGate update succeeded,5
Compromised or commonly used username found in HTTP Basic Authentication,5
Run Command,5
UBA : Deviation from normal Risk posture,5
OpenSSL TLS Heartbeat Found,5
UBA : Increase in successful access and authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Disk log directory deleted,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Port Deleted,5
Automation Stitch Triggered,5
Security Rating summary-notice,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
UBA : First time access to internal destination port,5
Local Windows Scanner Detected,5
Node Policy Update Success,5
UBA : First time access to network zone,5
Nmap Scripting Engine Detection,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Manufacturer default username and password found in HTTP Basic Authentication,5
Virtual WAN Link Status Information,5
Atlassian Confluence Directory Traversal Vulnerability,5
HTTP Default Password Detection,5
Alibaba Nacos Authentication Bypass Vulnerability,5
Non-RFC Compliant HTTP Traffic on Port 80,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Logout Success,5
PHP CGI Query String Parameter Handling Information Disclosure Vulnerability,5
Non-RFC Compliant RTSP Traffic,5
UTM Permit - VOIP log,5
NTP server status changes to unreachable,5
Atlassian Jira Server and Data Center Groupuserpicker Information Disclosure Vulnerability,5
Non-RFC Compliant HTTP Traffic on Port 80,5
Non-RFC Compliant HTTP Traffic on Port 80,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Anomaly Detection Engine Message,5
Non-RFC Compliant HTTP Traffic on Port 80,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Avtech Devices Unauthenticated Information Disclosure Vulnerability,5
IP Address Deleted,5
Interface Deleted,5
Threat Feed updated - Information,5
Nmap Service Detection,5
Acunetix Web Vulnerability Scanner Detection,5
Qianxin SSLVPN Improper Access Control Vulnerability,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
DNS Zone Transfer AXFR Attempt,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Compromised or manufacturer default password found in HTTP Basic Authentication,5
Non-RFC Compliant IMAP Traffic on Port 143,5
FortiGuard webfilter reachable,5
System Add Event,5
Authentication timed out,5
Endpoint added,5
Wildfire Virus Reset Both,5
reset-both,1
Apache Shiro Improper Authentication Vulnerability,4
Phase2 Down,4
SSL Weak Cipher Suite Selection Vulnerability,4
Use of insecure SSLv3.0 Found in Server Response,4
Phase2 Up,4
UNIX NFS Export Directory Attempt,4
Tongda OA Online Arbitrary User Login Vulnerability,4
GTPv2-C Echo Request Message,4
IPsec DPD,4
SCADA ICCP COTP Connection Request from Unauthorized Client,4
NetBIOS nbtstat query,4
Microsoft Exchange Server Remote Code Execution Vulnerability,4
Telerik UI DialogHandler Request,4
OpenSSL Empty SNI Extension Found,4
SCADA Modbus Device Identification Read Attempt,4
SCADA Modbus Read Request to a PLC Attempt,4
Buffalo WSR-2533DHPL2 Path Traversal Vulnerability,4
DataTaker DT80 Information Disclosure Vulnerability,4
VMware vCenter Server Arbitrary File Read Vulnerability,4
Ruckus Remote Authentication Bypass Vulnerability,4
Amcrest IPM-721S Information Disclosure Vulnerability,4
SCADA DNP3 Miscellaneous Request to a PLC Attempt,4
Socomec DIRIS A-40 Information Disclosure Vulnerability,4
PAN-OS Authentication Bypass Vulnerability,4
Adobe ColdFusion IPFilterUtils Improper Access Control Vulnerability,4
DedeCMS Information Disclosure Vulnerability,4
WordPress Email Plugin Information Disclosure Vulnerability,4
JBoss Information Disclosure Vulnerability,4
Masscan Port Scanning Tool Detection,4
DLink DSL Information Disclosure Vulnerability,4
Remote Database Scanner Detected,4
Atlassian Jira Server and Data Center QueryComponent Information Disclosure Vulnerability,4
Dahua Improper Authentication Vulnerability,4
Eclipse Jetty Information Disclosure Vulnerability,4
F5 BIG-IP Authentication Bypass Vulnerability,4
Apache Tapestry ClasspathAssetRequestHandler Information Disclosure Vulnerability,4
Remote Proxy Server Scanner Detected,4
Joomla Improper Access Control Vulnerability,4
Advantech Studio NTWebServer Arbitrary File Access Vulnerability,4
Atlassian Confluence Server Information Disclosure Vulnerability,4
HTTP Request Directory Path Traversal Detection,4
Afterlogic Aurora Information Disclosure Vulnerability,4
Zhiyuan OA Information Disclosure Vulnerability,4
WordPress WPGraphQL Plugin Authentication Bypass and Information Disclosure Vulnerability,4
PHP DIESCAN Information Disclosure Vulnerability,4
HTTP Post Content Length Too Long,4
POODLE Bites Vulnerability,4
UBA : New Account Use Detected,3
Remote IRC Scanner Detected,7
